
This Table is for 20 element chosen randomly.
VALUES			INDEX(initial)			INDEX(final)			MISSES
963511962		62				62				0
20168774		74				74				0
128176325		25				25				0
1667532371		71				71				0
272338732		32				32				0
1691264690		90				90				0
497069375		75				75				0
1338821486		86				86				0
1908213324		24				24				0
1375053320		20				20				0
263900120		20				21				1
1249739406		6				6				0
855596981		81				81				0
1015900938		38				38				0
1785127639		39				39				0
427172066		66				66				0
1915427341		41				41				0
1831063310		10				10				0
1555110441		41				42				1
1667829644		44				44				0


TOTAL MISSES : 2


This Table is for 40 element chosen randomly.
VALUES			INDEX(initial)			INDEX(final)			MISSES
1346582852		52				52				0
1573047025		25				25				0
640113092		92				92				0
1488905516		16				16				0
1291534716		16				17				1
2147399730		30				30				0
1674407198		98				98				0
15739134		34				34				0
428478460		60				60				0
1238462559		59				59				0
452817865		65				65				0
1391990422		22				22				0
1258631333		33				33				0
580994190		90				90				0
912039145		45				45				0
1530970065		65				66				1
124775233		33				35				2
1409108520		20				20				0
722307903		3				3				0
2032988557		57				57				0
636678192		92				93				1
986208023		23				23				0
1135244315		15				15				0
1492275174		74				74				0
2002108962		62				62				0
772888307		7				7				0
1919447240		40				40				0
1770052655		55				55				0
456467969		69				69				0
1327074033		33				36				3
1290398652		52				53				1
1803050821		21				21				0
752637410		10				10				0
1930511744		44				44				0
1144472690		90				91				1
2044172126		26				26				0
1930427826		26				27				1
671396240		40				41				1
2059911261		61				61				0
211422639		39				39				0


TOTAL MISSES : 12


This Table is for 60 element chosen randomly.
VALUES			INDEX(initial)			INDEX(final)			MISSES
1909858799		99				99				0
365245478		78				78				0
1603413061		61				61				0
1021006485		85				85				0
946239668		68				68				0
367968559		59				59				0
404492902		2				2				0
1071014901		1				1				0
1777077079		79				79				0
1126800806		6				6				0
956519810		10				10				0
266271624		24				24				0
2113008829		29				29				0
2091764126		26				26				0
1758546798		98				98				0
1967634143		43				43				0
717168785		85				86				1
1530510390		90				90				0
1590203151		51				51				0
1173636754		54				54				0
710100775		75				75				0
733118155		55				55				0
829203928		28				28				0
1462738186		86				87				1
516146251		51				52				1
1973676618		18				18				0
1359426664		64				64				0
299090430		30				30				0
497589210		10				11				1
1271854277		77				77				0
510513069		69				69				0
259964361		61				62				1
1637099755		55				56				1
2113926130		30				31				1
1280970846		46				46				0
435855776		76				76				0
334411041		41				41				0
1685463749		49				49				0
1506870677		77				80				3
2111488121		21				21				0
664780907		7				7				0
315906840		40				40				0
230276097		97				97				0
630306088		88				88				0
260187318		18				19				1
1988822895		95				95				0
450456584		84				84				0
977356103		3				3				0
1371849637		37				37				0
2040659735		35				35				0
3509209		9				9				0
2081950412		12				12				0
626294242		42				42				0
832713137		37				38				1
1397204950		50				50				0
1142440493		93				93				0
658906107		7				8				1
609147967		67				67				0
1441530923		23				23				0
1156495317		17				17				0


TOTAL MISSES : 13


This Table is for 80 element chosen randomly.
VALUES			INDEX(initial)			INDEX(final)			MISSES
1881002244		44				44				0
1952043992		92				92				0
1416459679		79				79				0
1370618352		52				52				0
1918486475		75				75				0
549946877		77				77				0
1806474128		28				28				0
105413868		68				68				0
87926978		78				78				0
1165861157		57				57				0
69418341		41				41				0
752707885		85				85				0
1481767997		97				97				0
299694438		38				38				0
1383013974		74				74				0
1741955315		15				15				0
141033685		85				86				1
1833470558		58				58				0
571827770		70				70				0
1512883322		22				22				0
1726646645		45				45				0
575336980		80				80				0
1447350087		87				87				0
205457239		39				39				0
1408050117		17				17				0
697071389		89				89				0
1347897732		32				32				0
2066956225		25				25				0
1306219356		56				56				0
641945008		8				8				0
1075967894		94				94				0
1039737953		53				53				0
446505352		52				54				2
344943925		25				26				1
262872657		57				59				2
217508179		79				81				2
894890803		3				3				0
2069346785		85				88				3
322922048		48				48				0
982817781		81				82				1
1087724294		94				95				1
392340389		89				90				1
1735525667		67				67				0
422008644		44				46				2
692034828		28				29				1
971055993		93				93				0
16480311		11				11				0
833068513		13				13				0
657042903		3				4				1
588308082		82				83				1
198468188		88				91				3
236205900		0				0				0
1163645062		62				62				0
1645818275		75				76				1
441663139		39				40				1
424211531		31				31				0
195406016		16				16				0
1789560871		71				71				0
343684108		8				9				1
1501625373		73				73				0
284022231		31				33				2
1419652003		3				5				2
393879678		78				84				6
730527584		84				96				12
1764595928		28				30				2
656752335		35				35				0
948035763		63				63				0
512003083		83				98				15
578615472		72				72				0
1270957811		11				12				1
1494820865		65				65				0
1666339766		66				66				0
1663298201		1				1				0
1082862884		84				99				15
2088348410		10				10				0
207849381		81				2				21
2053918877		77				6				29
2104828722		22				23				1
1040917894		94				7				13
563478132		32				34				2


TOTAL MISSES : 146


This Table is for 100 element chosen randomly.
VALUES			INDEX(initial)			INDEX(final)			MISSES
545653156		56				56				0
1239386082		82				82				0
799684032		32				32				0
1709298218		18				18				0
737720709		9				9				0
1241347171		71				71				0
2133509749		49				49				0
933126726		26				26				0
883424394		94				94				0
329710210		10				10				0
287268451		51				51				0
1167446626		26				27				1
1749362213		13				13				0
681148129		29				29				0
1897974210		10				11				1
1366474493		93				93				0
1337900464		64				64				0
698526325		25				25				0
1878477577		77				77				0
1916515936		36				36				0
1969484137		37				37				0
1225814794		94				95				1
1435372054		54				54				0
1485298690		90				90				0
161194030		30				30				0
1376236817		17				17				0
1693148071		71				72				1
67629259		59				59				0
1333581891		91				91				0
586582317		17				19				2
631107391		91				92				1
1879235047		47				47				0
1825968400		0				0				0
1430791423		23				23				0
1441049617		17				20				3
416205461		61				61				0
524654946		46				46				0
1427075718		18				21				3
1349332187		87				87				0
1408079340		40				40				0
1756785928		28				28				0
1636600638		38				38				0
428042318		18				22				4
1358664493		93				96				3
170265119		19				24				5
178532880		80				80				0
577655339		39				39				0
1508165583		83				83				0
877059206		6				6				0
308649268		68				68				0
1277197871		71				73				2
699059695		95				97				2
1534464062		62				62				0
565086278		78				78				0
36874737		37				41				4
1695658092		92				98				6
1941323095		95				99				4
1730022808		8				8				0
1763287351		51				52				1
1127421338		38				42				4
169121477		77				79				2
246911094		94				1				7
859172737		37				43				6
1995089877		77				81				4
1677702517		17				31				14
152738706		6				7				1
263811691		91				2				11
54873815		15				15				0
1579814424		24				33				9
1613143878		78				84				6
1462953155		55				55				0
1189116705		5				5				0
1102260869		69				69				0
1890995474		74				74				0
400297550		50				50				0
1272525988		88				88				0
2069528354		54				57				3
977952889		89				89				0
633207924		24				34				10
799103912		12				12				0
1286602157		57				58				1
1910405795		95				3				8
1498163607		7				14				7
673582571		71				75				4
328008425		25				35				10
1535038344		44				44				0
221757015		15				16				1
121847872		72				76				4
1117577504		4				4				0
1985044366		66				66				0
1249269210		10				45				35
1286698982		82				85				3
84471812		12				48				36
2108441947		47				53				6
1134305211		11				60				49
1762174329		29				63				34
113697005		5				65				60
1398116902		2				67				65
1817048144		44				70				26
1693511430		30				86				56


TOTAL MISSES : 526

THE MAIN TABLE SHOWING THE VARIATION OF MISSES WITH INCREASING NUMBER OF ELEMENTS :

NUMBER OF ELEMENTS	NUMBER OF MISSES
20			2
40			12
60			13
80			146
100			526
AVERAGE MISS : 139.8

VARIANCE OF THE MISSES : 40117.8
